TimeStamp,Fx,Fy,Fz,Tx,Ty,Tz
0.005329,-0.020000,-0.020000,-0.050000,0.000000,0.000000,0.000000
0.006844,-0.020000,-0.020000,-0.050000,0.000000,0.000000,0.000000
0.008671,-0.010000,-0.010000,-0.050000,0.000000,0.000000,0.000000
0.010186,-0.010000,-0.010000,-0.050000,0.000000,0.000000,0.000000
0.012009,0.000000,0.000000,-0.030000,0.000000,0.000000,0.000000
0.013522,0.000000,0.000000,-0.030000,0.000000,0.000000,0.000000
0.015349,0.000000,0.000000,-0.040000,0.000000,0.000000,0.000000
0.016863,0.000000,0.000000,-0.040000,0.000000,0.000000,0.000000
0.018691,0.010000,0.000000,-0.059999,0.000000,0.000000,0.000000
0.020213,0.010000,0.000000,-0.059999,0.000000,0.000000,0.000000
0.022034,-0.020000,-0.030000,0.010000,0.000000,0.000000,0.000000
0.023544,-0.020000,-0.030000,0.010000,0.000000,0.000000,0.000000
0.025375,-0.060000,-0.040000,0.070000,0.000000,0.000000,0.000000
0.026884,-0.060000,-0.040000,0.070000,0.000000,0.000000,0.000000
0.028710,0.000000,-0.020000,-0.110000,0.000000,0.000000,0.000000
0.030225,0.000000,-0.020000,-0.110000,0.000000,0.000000,0.000000
0.032053,-0.010000,0.000000,-0.030000,0.000000,0.000000,0.000000
0.033564,-0.010000,0.000000,-0.030000,0.000000,0.000000,0.000000
0.035391,-0.020000,-0.020000,0.040000,0.000000,0.000000,0.000000
0.036905,-0.020000,-0.020000,0.040000,0.000000,0.000000,0.000000
0.038732,-0.050000,-0.030000,-0.059999,0.000000,0.000000,0.000000
0.040245,-0.050000,-0.030000,-0.059999,0.000000,0.000000,0.000000
0.042072,-0.010000,-0.030000,0.010000,0.000000,0.000000,0.000000
0.043588,-0.010000,-0.030000,0.010000,0.000000,0.000000,0.000000
0.045411,-0.070000,-0.050000,0.000000,0.000000,0.000000,0.000000
0.046930,-0.070000,-0.050000,0.000000,0.000000,0.000000,0.000000
0.048757,-0.020000,0.000000,-0.020000,0.000000,0.000000,0.000000
0.050267,-0.020000,0.000000,-0.020000,0.000000,0.000000,0.000000
0.052092,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
0.053607,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
0.055435,-0.050000,-0.040000,-0.020000,0.000000,0.000000,0.000000
0.056949,-0.050000,-0.040000,-0.020000,0.000000,0.000000,0.000000
0.058777,-0.060000,-0.030000,-0.059999,0.000000,0.000000,0.000000
0.060291,-0.060000,-0.030000,-0.059999,0.000000,0.000000,0.000000
0.062126,-0.010000,-0.020000,-0.050000,0.000000,0.000000,0.000000
0.063628,-0.010000,-0.020000,-0.050000,0.000000,0.000000,0.000000
0.065455,-0.050000,-0.050000,0.000000,0.000000,0.000000,0.000000
0.066975,-0.050000,-0.050000,0.000000,0.000000,0.000000,0.000000
0.068796,-0.010000,-0.020000,-0.059999,0.000000,0.000000,0.000000
0.070310,-0.010000,-0.020000,-0.059999,0.000000,0.000000,0.000000
0.072137,-0.020000,-0.010000,-0.120000,0.000000,0.000000,0.000000
0.073649,-0.020000,-0.010000,-0.120000,0.000000,0.000000,0.000000
0.075476,-0.070000,-0.050000,-0.030000,0.000000,0.000000,0.000000
0.076989,-0.070000,-0.050000,-0.030000,0.000000,0.000000,0.000000
0.078815,-0.030000,-0.020000,-0.080000,0.000000,0.000000,0.000000
0.080330,-0.030000,-0.020000,-0.080000,0.000000,0.000000,0.000000
0.082155,0.010000,-0.030000,-0.150000,0.000000,0.000000,0.000000
0.083672,0.010000,-0.030000,-0.150000,0.000000,0.000000,0.000000
0.085499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.087010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.088841,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000
0.090350,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000
0.092176,0.000000,-0.020000,-0.050000,0.000000,0.000000,0.000000
